,City,Cause_Category,Cause_Subcategory,Incident_Outcome,Accident_Count
3033,Ahmedabad,Traffic Violation,Driving on Wrong side,Persons Killed,5.0
3034,Ahmedabad,Traffic Violation,Driving on Wrong side,Total Injured,14.0
3035,Ahmedabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,5.0
3036,Ahmedabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,8.0
3037,Ahmedabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,15.0
3038,Ahmedabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,2.0
3039,Ahmedabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,13.0
3040,Ahmedabad,Traffic Violation,Jumping Red Light,Greviously Injured,3.0
3041,Ahmedabad,Traffic Violation,Jumping Red Light,Minor Injury,0.0
3042,Ahmedabad,Traffic Violation,Jumping Red Light,Total number of Accidents,3.0
3043,Ahmedabad,Traffic Violation,Jumping Red Light,Persons Killed,0.0
3044,Ahmedabad,Traffic Violation,Jumping Red Light,Total Injured,3.0
3045,Ahmedabad,Traffic Violation,Others,Greviously Injured,0.0
3046,Ahmedabad,Traffic Violation,Others,Minor Injury,0.0
3047,Ahmedabad,Traffic Violation,Others,Total number of Accidents,0.0
3048,Ahmedabad,Traffic Violation,Others,Persons Killed,0.0
3049,Ahmedabad,Traffic Violation,Others,Total Injured,0.0
3050,Ahmedabad,Traffic Violation,Over,Greviously Injured,456.0
3051,Ahmedabad,Traffic Violation,Over,Minor Injury,300.0
3052,Ahmedabad,Traffic Violation,Over,Total number of Accidents,1149.0
3053,Ahmedabad,Traffic Violation,Over,Persons Killed,333.0
3054,Ahmedabad,Traffic Violation,Over,Total Injured,756.0
3055,Ahmedabad,Traffic Violation,Use of Mobile Phone,Greviously Injured,0.0
3056,Ahmedabad,Traffic Violation,Use of Mobile Phone,Minor Injury,0.0
3057,Ahmedabad,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0.0
3058,Ahmedabad,Traffic Violation,Use of Mobile Phone,Persons Killed,0.0
3059,Ahmedabad,Traffic Violation,Use of Mobile Phone,Total Injured,0.0
3060,Allahabad(Prayagraj),Traffic Violation,Driving on Wrong side,Greviously Injured,24.0
3061,Allahabad(Prayagraj),Traffic Violation,Driving on Wrong side,Minor Injury,105.0
3062,Allahabad(Prayagraj),Traffic Violation,Driving on Wrong side,Total number of Accidents,205.0
3063,Allahabad(Prayagraj),Traffic Violation,Driving on Wrong side,Persons Killed,102.0
3064,Allahabad(Prayagraj),Traffic Violation,Driving on Wrong side,Total Injured,129.0
3065,Allahabad(Prayagraj),Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,22.0
3066,Allahabad(Prayagraj),Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,106.0
3067,Allahabad(Prayagraj),Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,201.0
3068,Allahabad(Prayagraj),Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,86.0
3069,Allahabad(Prayagraj),Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,128.0
3070,Allahabad(Prayagraj),Traffic Violation,Jumping Red Light,Greviously Injured,17.0
3071,Allahabad(Prayagraj),Traffic Violation,Jumping Red Light,Minor Injury,119.0
3072,Allahabad(Prayagraj),Traffic Violation,Jumping Red Light,Total number of Accidents,214.0
3073,Allahabad(Prayagraj),Traffic Violation,Jumping Red Light,Persons Killed,89.0
3074,Allahabad(Prayagraj),Traffic Violation,Jumping Red Light,Total Injured,136.0
3075,Allahabad(Prayagraj),Traffic Violation,Others,Greviously Injured,14.0
3076,Allahabad(Prayagraj),Traffic Violation,Others,Minor Injury,65.0
3077,Allahabad(Prayagraj),Traffic Violation,Others,Total number of Accidents,101.0
3078,Allahabad(Prayagraj),Traffic Violation,Others,Persons Killed,38.0
3079,Allahabad(Prayagraj),Traffic Violation,Others,Total Injured,79.0
3080,Allahabad(Prayagraj),Traffic Violation,Over,Greviously Injured,28.0
3081,Allahabad(Prayagraj),Traffic Violation,Over,Minor Injury,134.0
3082,Allahabad(Prayagraj),Traffic Violation,Over,Total number of Accidents,255.0
3083,Allahabad(Prayagraj),Traffic Violation,Over,Persons Killed,109.0
3084,Allahabad(Prayagraj),Traffic Violation,Over,Total Injured,162.0
3085,Allahabad(Prayagraj),Traffic Violation,Use of Mobile Phone,Greviously Injured,16.0
3086,Allahabad(Prayagraj),Traffic Violation,Use of Mobile Phone,Minor Injury,82.0
3087,Allahabad(Prayagraj),Traffic Violation,Use of Mobile Phone,Total number of Accidents,176.0
3088,Allahabad(Prayagraj),Traffic Violation,Use of Mobile Phone,Persons Killed,93.0
3089,Allahabad(Prayagraj),Traffic Violation,Use of Mobile Phone,Total Injured,98.0
3090,Amritsar,Traffic Violation,Driving on Wrong side,Greviously Injured,0.0
3091,Amritsar,Traffic Violation,Driving on Wrong side,Minor Injury,0.0
3092,Amritsar,Traffic Violation,Driving on Wrong side,Total number of Accidents,2.0
3093,Amritsar,Traffic Violation,Driving on Wrong side,Persons Killed,2.0
3094,Amritsar,Traffic Violation,Driving on Wrong side,Total Injured,0.0
3095,Amritsar,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,4.0
3096,Amritsar,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,0.0
3097,Amritsar,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,1.0
3098,Amritsar,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,0.0
3099,Amritsar,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,4.0
3100,Amritsar,Traffic Violation,Jumping Red Light,Greviously Injured,0.0
3101,Amritsar,Traffic Violation,Jumping Red Light,Minor Injury,0.0
3102,Amritsar,Traffic Violation,Jumping Red Light,Total number of Accidents,0.0
3103,Amritsar,Traffic Violation,Jumping Red Light,Persons Killed,0.0
3104,Amritsar,Traffic Violation,Jumping Red Light,Total Injured,0.0
3105,Amritsar,Traffic Violation,Others,Greviously Injured,16.0
3106,Amritsar,Traffic Violation,Others,Minor Injury,9.0
3107,Amritsar,Traffic Violation,Others,Total number of Accidents,42.0
3108,Amritsar,Traffic Violation,Others,Persons Killed,27.0
3109,Amritsar,Traffic Violation,Others,Total Injured,25.0
3110,Amritsar,Traffic Violation,Over,Greviously Injured,18.0
3111,Amritsar,Traffic Violation,Over,Minor Injury,12.0
3112,Amritsar,Traffic Violation,Over,Total number of Accidents,55.0
3113,Amritsar,Traffic Violation,Over,Persons Killed,37.0
3114,Amritsar,Traffic Violation,Over,Total Injured,30.0
3115,Amritsar,Traffic Violation,Use of Mobile Phone,Greviously Injured,0.0
3116,Amritsar,Traffic Violation,Use of Mobile Phone,Minor Injury,0.0
3117,Amritsar,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0.0
3118,Amritsar,Traffic Violation,Use of Mobile Phone,Persons Killed,0.0
3119,Amritsar,Traffic Violation,Use of Mobile Phone,Total Injured,0.0
3120,Asansol Durgapur,Traffic Violation,Driving on Wrong side,Greviously Injured,4.0
3121,Asansol Durgapur,Traffic Violation,Driving on Wrong side,Minor Injury,0.0
3122,Asansol Durgapur,Traffic Violation,Driving on Wrong side,Total number of Accidents,1.0
3123,Asansol Durgapur,Traffic Violation,Driving on Wrong side,Persons Killed,2.0
3124,Asansol Durgapur,Traffic Violation,Driving on Wrong side,Total Injured,4.0
3125,Asansol Durgapur,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,0.0
3126,Asansol Durgapur,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,0.0
3127,Asansol Durgapur,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,0.0
3128,Asansol Durgapur,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,0.0
3129,Asansol Durgapur,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,0.0
3130,Asansol Durgapur,Traffic Violation,Jumping Red Light,Greviously Injured,0.0
3131,Asansol Durgapur,Traffic Violation,Jumping Red Light,Minor Injury,0.0
3132,Asansol Durgapur,Traffic Violation,Jumping Red Light,Total number of Accidents,0.0
3133,Asansol Durgapur,Traffic Violation,Jumping Red Light,Persons Killed,0.0
3134,Asansol Durgapur,Traffic Violation,Jumping Red Light,Total Injured,0.0
3135,Asansol Durgapur,Traffic Violation,Others,Greviously Injured,125.0
3136,Asansol Durgapur,Traffic Violation,Others,Minor Injury,29.0
3137,Asansol Durgapur,Traffic Violation,Others,Total number of Accidents,240.0
3138,Asansol Durgapur,Traffic Violation,Others,Persons Killed,169.0
3139,Asansol Durgapur,Traffic Violation,Others,Total Injured,154.0
3140,Asansol Durgapur,Traffic Violation,Over,Greviously Injured,74.0
3141,Asansol Durgapur,Traffic Violation,Over,Minor Injury,14.0
3142,Asansol Durgapur,Traffic Violation,Over,Total number of Accidents,187.0
3143,Asansol Durgapur,Traffic Violation,Over,Persons Killed,144.0
3144,Asansol Durgapur,Traffic Violation,Over,Total Injured,88.0
3145,Asansol Durgapur,Traffic Violation,Use of Mobile Phone,Greviously Injured,0.0
3146,Asansol Durgapur,Traffic Violation,Use of Mobile Phone,Minor Injury,0.0
3147,Asansol Durgapur,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0.0
3148,Asansol Durgapur,Traffic Violation,Use of Mobile Phone,Persons Killed,0.0
3149,Asansol Durgapur,Traffic Violation,Use of Mobile Phone,Total Injured,0.0
3150,Aurangabad,Traffic Violation,Driving on Wrong side,Greviously Injured,5.0
3151,Aurangabad,Traffic Violation,Driving on Wrong side,Minor Injury,2.0
3152,Aurangabad,Traffic Violation,Driving on Wrong side,Total number of Accidents,12.0
3153,Aurangabad,Traffic Violation,Driving on Wrong side,Persons Killed,5.0
3154,Aurangabad,Traffic Violation,Driving on Wrong side,Total Injured,7.0
3155,Aurangabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,0.0
3156,Aurangabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,0.0
3157,Aurangabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,0.0
3158,Aurangabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,0.0
3159,Aurangabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,0.0
3160,Aurangabad,Traffic Violation,Jumping Red Light,Greviously Injured,0.0
3161,Aurangabad,Traffic Violation,Jumping Red Light,Minor Injury,0.0
3162,Aurangabad,Traffic Violation,Jumping Red Light,Total number of Accidents,0.0
3163,Aurangabad,Traffic Violation,Jumping Red Light,Persons Killed,0.0
3164,Aurangabad,Traffic Violation,Jumping Red Light,Total Injured,0.0
3165,Aurangabad,Traffic Violation,Others,Greviously Injured,10.0
3166,Aurangabad,Traffic Violation,Others,Minor Injury,3.0
3167,Aurangabad,Traffic Violation,Others,Total number of Accidents,27.0
3168,Aurangabad,Traffic Violation,Others,Persons Killed,20.0
3169,Aurangabad,Traffic Violation,Others,Total Injured,13.0
3170,Aurangabad,Traffic Violation,Over,Greviously Injured,205.0
3171,Aurangabad,Traffic Violation,Over,Minor Injury,68.0
3172,Aurangabad,Traffic Violation,Over,Total number of Accidents,367.0
3173,Aurangabad,Traffic Violation,Over,Persons Killed,111.0
3174,Aurangabad,Traffic Violation,Over,Total Injured,273.0
3175,Aurangabad,Traffic Violation,Use of Mobile Phone,Greviously Injured,0.0
3176,Aurangabad,Traffic Violation,Use of Mobile Phone,Minor Injury,0.0
3177,Aurangabad,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0.0
3178,Aurangabad,Traffic Violation,Use of Mobile Phone,Persons Killed,0.0
3179,Aurangabad,Traffic Violation,Use of Mobile Phone,Total Injured,0.0
3180,Bengaluru,Traffic Violation,Driving on Wrong side,Greviously Injured,17.0
3181,Bengaluru,Traffic Violation,Driving on Wrong side,Minor Injury,4.0
3182,Bengaluru,Traffic Violation,Driving on Wrong side,Total number of Accidents,26.0
3183,Bengaluru,Traffic Violation,Driving on Wrong side,Persons Killed,1.0
3184,Bengaluru,Traffic Violation,Driving on Wrong side,Total Injured,21.0
3185,Bengaluru,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,10.0
3186,Bengaluru,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,3.0
3187,Bengaluru,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,27.0
3188,Bengaluru,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,11.0
3189,Bengaluru,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,13.0
3190,Bengaluru,Traffic Violation,Jumping Red Light,Greviously Injured,10.0
3191,Bengaluru,Traffic Violation,Jumping Red Light,Minor Injury,5.0
3192,Bengaluru,Traffic Violation,Jumping Red Light,Total number of Accidents,15.0
3193,Bengaluru,Traffic Violation,Jumping Red Light,Persons Killed,2.0
3194,Bengaluru,Traffic Violation,Jumping Red Light,Total Injured,15.0
3195,Bengaluru,Traffic Violation,Others,Greviously Injured,59.0
3196,Bengaluru,Traffic Violation,Others,Minor Injury,77.0
3197,Bengaluru,Traffic Violation,Others,Total number of Accidents,172.0
3198,Bengaluru,Traffic Violation,Others,Persons Killed,36.0
3199,Bengaluru,Traffic Violation,Others,Total Injured,136.0
3200,Bengaluru,Traffic Violation,Over,Greviously Injured,1611.0
3201,Bengaluru,Traffic Violation,Over,Minor Injury,955.0
3202,Bengaluru,Traffic Violation,Over,Total number of Accidents,2993.0
3203,Bengaluru,Traffic Violation,Over,Persons Killed,596.0
3204,Bengaluru,Traffic Violation,Over,Total Injured,2566.0
3205,Bengaluru,Traffic Violation,Use of Mobile Phone,Greviously Injured,0.0
3206,Bengaluru,Traffic Violation,Use of Mobile Phone,Minor Injury,0.0
3207,Bengaluru,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0.0
3208,Bengaluru,Traffic Violation,Use of Mobile Phone,Persons Killed,0.0
3209,Bengaluru,Traffic Violation,Use of Mobile Phone,Total Injured,0.0
3210,Bhopal,Traffic Violation,Driving on Wrong side,Greviously Injured,0.0
3211,Bhopal,Traffic Violation,Driving on Wrong side,Minor Injury,0.0
3212,Bhopal,Traffic Violation,Driving on Wrong side,Total number of Accidents,0.0
3213,Bhopal,Traffic Violation,Driving on Wrong side,Persons Killed,0.0
3214,Bhopal,Traffic Violation,Driving on Wrong side,Total Injured,0.0
3215,Bhopal,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,0.0
3216,Bhopal,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,0.0
3217,Bhopal,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,0.0
3218,Bhopal,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,0.0
3219,Bhopal,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,0.0
3220,Bhopal,Traffic Violation,Jumping Red Light,Greviously Injured,0.0
3221,Bhopal,Traffic Violation,Jumping Red Light,Minor Injury,0.0
3222,Bhopal,Traffic Violation,Jumping Red Light,Total number of Accidents,0.0
3223,Bhopal,Traffic Violation,Jumping Red Light,Persons Killed,0.0
3224,Bhopal,Traffic Violation,Jumping Red Light,Total Injured,0.0
3225,Bhopal,Traffic Violation,Others,Greviously Injured,39.0
3226,Bhopal,Traffic Violation,Others,Minor Injury,247.0
3227,Bhopal,Traffic Violation,Others,Total number of Accidents,405.0
3228,Bhopal,Traffic Violation,Others,Persons Killed,80.0
3229,Bhopal,Traffic Violation,Others,Total Injured,286.0
3230,Bhopal,Traffic Violation,Over,Greviously Injured,147.0
3231,Bhopal,Traffic Violation,Over,Minor Injury,1374.0
3232,Bhopal,Traffic Violation,Over,Total number of Accidents,1890.0
3233,Bhopal,Traffic Violation,Over,Persons Killed,157.0
3234,Bhopal,Traffic Violation,Over,Total Injured,1521.0
3235,Bhopal,Traffic Violation,Use of Mobile Phone,Greviously Injured,0.0
3236,Bhopal,Traffic Violation,Use of Mobile Phone,Minor Injury,0.0
3237,Bhopal,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0.0
3238,Bhopal,Traffic Violation,Use of Mobile Phone,Persons Killed,0.0
3239,Bhopal,Traffic Violation,Use of Mobile Phone,Total Injured,0.0
3240,Chandigarh,Traffic Violation,Driving on Wrong side,Greviously Injured,0.0
3241,Chandigarh,Traffic Violation,Driving on Wrong side,Minor Injury,4.0
3242,Chandigarh,Traffic Violation,Driving on Wrong side,Total number of Accidents,3.0
3243,Chandigarh,Traffic Violation,Driving on Wrong side,Persons Killed,1.0
3244,Chandigarh,Traffic Violation,Driving on Wrong side,Total Injured,4.0
3245,Chandigarh,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,0.0
3246,Chandigarh,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,3.0
3247,Chandigarh,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,5.0
3248,Chandigarh,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,1.0
3249,Chandigarh,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,3.0
3250,Chandigarh,Traffic Violation,Jumping Red Light,Greviously Injured,0.0
3251,Chandigarh,Traffic Violation,Jumping Red Light,Minor Injury,2.0
3252,Chandigarh,Traffic Violation,Jumping Red Light,Total number of Accidents,4.0
3253,Chandigarh,Traffic Violation,Jumping Red Light,Persons Killed,1.0
3254,Chandigarh,Traffic Violation,Jumping Red Light,Total Injured,2.0
3255,Chandigarh,Traffic Violation,Others,Greviously Injured,0.0
3256,Chandigarh,Traffic Violation,Others,Minor Injury,0.0
3257,Chandigarh,Traffic Violation,Others,Total number of Accidents,0.0
3258,Chandigarh,Traffic Violation,Others,Persons Killed,0.0
3259,Chandigarh,Traffic Violation,Others,Total Injured,0.0
3260,Chandigarh,Traffic Violation,Over,Greviously Injured,14.0
3261,Chandigarh,Traffic Violation,Over,Minor Injury,125.0
3262,Chandigarh,Traffic Violation,Over,Total number of Accidents,147.0
3263,Chandigarh,Traffic Violation,Over,Persons Killed,50.0
3264,Chandigarh,Traffic Violation,Over,Total Injured,139.0
3265,Chandigarh,Traffic Violation,Use of Mobile Phone,Greviously Injured,0.0
3266,Chandigarh,Traffic Violation,Use of Mobile Phone,Minor Injury,0.0
3267,Chandigarh,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0.0
3268,Chandigarh,Traffic Violation,Use of Mobile Phone,Persons Killed,0.0
3269,Chandigarh,Traffic Violation,Use of Mobile Phone,Total Injured,0.0
3270,Chennai,Traffic Violation,Driving on Wrong side,Greviously Injured,79.0
3271,Chennai,Traffic Violation,Driving on Wrong side,Minor Injury,265.0
3272,Chennai,Traffic Violation,Driving on Wrong side,Total number of Accidents,260.0
3273,Chennai,Traffic Violation,Driving on Wrong side,Persons Killed,10.0
3274,Chennai,Traffic Violation,Driving on Wrong side,Total Injured,344.0
3275,Chennai,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,56.0
3276,Chennai,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,287.0
3277,Chennai,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,284.0
3278,Chennai,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,19.0
3279,Chennai,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,343.0
3280,Chennai,Traffic Violation,Jumping Red Light,Greviously Injured,129.0
3281,Chennai,Traffic Violation,Jumping Red Light,Minor Injury,249.0
3282,Chennai,Traffic Violation,Jumping Red Light,Total number of Accidents,289.0
3283,Chennai,Traffic Violation,Jumping Red Light,Persons Killed,14.0
3284,Chennai,Traffic Violation,Jumping Red Light,Total Injured,378.0
3285,Chennai,Traffic Violation,Others,Greviously Injured,92.0
3286,Chennai,Traffic Violation,Others,Minor Injury,415.0
3287,Chennai,Traffic Violation,Others,Total number of Accidents,511.0
3288,Chennai,Traffic Violation,Others,Persons Killed,151.0
3289,Chennai,Traffic Violation,Others,Total Injured,507.0
3290,Chennai,Traffic Violation,Over,Greviously Injured,474.0
3291,Chennai,Traffic Violation,Over,Minor Injury,1937.0
3292,Chennai,Traffic Violation,Over,Total number of Accidents,2839.0
3293,Chennai,Traffic Violation,Over,Persons Killed,672.0
3294,Chennai,Traffic Violation,Over,Total Injured,2411.0
3295,Chennai,Traffic Violation,Use of Mobile Phone,Greviously Injured,111.0
3296,Chennai,Traffic Violation,Use of Mobile Phone,Minor Injury,169.0
3297,Chennai,Traffic Violation,Use of Mobile Phone,Total number of Accidents,206.0
3298,Chennai,Traffic Violation,Use of Mobile Phone,Persons Killed,6.0
3299,Chennai,Traffic Violation,Use of Mobile Phone,Total Injured,280.0
3300,Coimbatore,Traffic Violation,Driving on Wrong side,Greviously Injured,0.0
3301,Coimbatore,Traffic Violation,Driving on Wrong side,Minor Injury,9.0
3302,Coimbatore,Traffic Violation,Driving on Wrong side,Total number of Accidents,7.0
3303,Coimbatore,Traffic Violation,Driving on Wrong side,Persons Killed,0.0
3304,Coimbatore,Traffic Violation,Driving on Wrong side,Total Injured,9.0
3305,Coimbatore,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,5.0
3306,Coimbatore,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,4.0
3307,Coimbatore,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,10.0
3308,Coimbatore,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,0.0
3309,Coimbatore,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,9.0
3310,Coimbatore,Traffic Violation,Jumping Red Light,Greviously Injured,0.0
3311,Coimbatore,Traffic Violation,Jumping Red Light,Minor Injury,0.0
3312,Coimbatore,Traffic Violation,Jumping Red Light,Total number of Accidents,0.0
3313,Coimbatore,Traffic Violation,Jumping Red Light,Persons Killed,0.0
3314,Coimbatore,Traffic Violation,Jumping Red Light,Total Injured,0.0
3315,Coimbatore,Traffic Violation,Others,Greviously Injured,0.0
3316,Coimbatore,Traffic Violation,Others,Minor Injury,0.0
3317,Coimbatore,Traffic Violation,Others,Total number of Accidents,0.0
3318,Coimbatore,Traffic Violation,Others,Persons Killed,0.0
3319,Coimbatore,Traffic Violation,Others,Total Injured,0.0
3320,Coimbatore,Traffic Violation,Over,Greviously Injured,342.0
3321,Coimbatore,Traffic Violation,Over,Minor Injury,362.0
3322,Coimbatore,Traffic Violation,Over,Total number of Accidents,690.0
3323,Coimbatore,Traffic Violation,Over,Persons Killed,65.0
3324,Coimbatore,Traffic Violation,Over,Total Injured,704.0
3325,Coimbatore,Traffic Violation,Use of Mobile Phone,Greviously Injured,0.0
3326,Coimbatore,Traffic Violation,Use of Mobile Phone,Minor Injury,0.0
3327,Coimbatore,Traffic Violation,Use of Mobile Phone,Total number of Accidents,0.0
3328,Coimbatore,Traffic Violation,Use of Mobile Phone,Persons Killed,0.0
3329,Coimbatore,Traffic Violation,Use of Mobile Phone,Total Injured,0.0
3330,Delhi,Traffic Violation,Driving on Wrong side,Greviously Injured,27.0
3331,Delhi,Traffic Violation,Driving on Wrong side,Minor Injury,247.0
3332,Delhi,Traffic Violation,Driving on Wrong side,Total number of Accidents,287.0
3333,Delhi,Traffic Violation,Driving on Wrong side,Persons Killed,60.0
3334,Delhi,Traffic Violation,Driving on Wrong side,Total Injured,274.0
3335,Delhi,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,8.0
3336,Delhi,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,131.0
3337,Delhi,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,143.0
3338,Delhi,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,36.0
3339,Delhi,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,139.0
3340,Delhi,Traffic Violation,Jumping Red Light,Greviously Injured,15.0
3341,Delhi,Traffic Violation,Jumping Red Light,Minor Injury,213.0
3342,Delhi,Traffic Violation,Jumping Red Light,Total number of Accidents,252.0
3343,Delhi,Traffic Violation,Jumping Red Light,Persons Killed,78.0
3344,Delhi,Traffic Violation,Jumping Red Light,Total Injured,228.0
3345,Delhi,Traffic Violation,Others,Greviously Injured,98.0
3346,Delhi,Traffic Violation,Others,Minor Injury,1863.0
3347,Delhi,Traffic Violation,Others,Total number of Accidents,2150.0
3348,Delhi,Traffic Violation,Others,Persons Killed,511.0
3349,Delhi,Traffic Violation,Others,Total Injured,1961.0
3350,Delhi,Traffic Violation,Over,Greviously Injured,59.0
3351,Delhi,Traffic Violation,Over,Minor Injury,927.0
3352,Delhi,Traffic Violation,Over,Total number of Accidents,1260.0
3353,Delhi,Traffic Violation,Over,Persons Killed,488.0
3354,Delhi,Traffic Violation,Over,Total Injured,986.0
3355,Delhi,Traffic Violation,Use of Mobile Phone,Greviously Injured,5.0
3356,Delhi,Traffic Violation,Use of Mobile Phone,Minor Injury,69.0
3357,Delhi,Traffic Violation,Use of Mobile Phone,Total number of Accidents,86.0
3358,Delhi,Traffic Violation,Use of Mobile Phone,Persons Killed,23.0
3359,Delhi,Traffic Violation,Use of Mobile Phone,Total Injured,74.0
3360,Dhanbad,Traffic Violation,Driving on Wrong side,Greviously Injured,6.0
3361,Dhanbad,Traffic Violation,Driving on Wrong side,Minor Injury,3.0
3362,Dhanbad,Traffic Violation,Driving on Wrong side,Total number of Accidents,14.0
3363,Dhanbad,Traffic Violation,Driving on Wrong side,Persons Killed,8.0
3364,Dhanbad,Traffic Violation,Driving on Wrong side,Total Injured,9.0
3365,Dhanbad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,19.0
3366,Dhanbad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,8.0
3367,Dhanbad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,48.0
3368,Dhanbad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,23.0
3369,Dhanbad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,27.0
3370,Dhanbad,Traffic Violation,Jumping Red Light,Greviously Injured,4.0
3371,Dhanbad,Traffic Violation,Jumping Red Light,Minor Injury,3.0
3372,Dhanbad,Traffic Violation,Jumping Red Light,Total number of Accidents,8.0
3373,Dhanbad,Traffic Violation,Jumping Red Light,Persons Killed,2.0
3374,Dhanbad,Traffic Violation,Jumping Red Light,Total Injured,7.0
3375,Dhanbad,Traffic Violation,Others,Greviously Injured,3.0
3376,Dhanbad,Traffic Violation,Others,Minor Injury,2.0
3377,Dhanbad,Traffic Violation,Others,Total number of Accidents,9.0
3378,Dhanbad,Traffic Violation,Others,Persons Killed,6.0
3379,Dhanbad,Traffic Violation,Others,Total Injured,5.0
3380,Dhanbad,Traffic Violation,Over,Greviously Injured,39.0
3381,Dhanbad,Traffic Violation,Over,Minor Injury,10.0
3382,Dhanbad,Traffic Violation,Over,Total number of Accidents,83.0
3383,Dhanbad,Traffic Violation,Over,Persons Killed,41.0
3384,Dhanbad,Traffic Violation,Over,Total Injured,49.0
3385,Dhanbad,Traffic Violation,Use of Mobile Phone,Greviously Injured,1.0
3386,Dhanbad,Traffic Violation,Use of Mobile Phone,Minor Injury,0.0
